district_id,school,enroll_d,frl_enroll_d,pct_frl
0401940,7,NA,1527,NA
0402130,1,84,10,0.119
0402190,1,174,143,0.822
0402220,1,109,18,0.165
0402250,1,649,82,0.126
0402320,5,2210,1630,0.738
0402400,10,5971,3569,0.598
0402430,9,5106,1818,0.356
0402480,1,108,17,0.157
0402530,8,3898,2633,0.675
0402600,2,383,55,0.144
0402690,24,23415,4678,0.2
0402740,2,202,133,0.658
0402760,1,100,28,0.28
0402790,3,750,656,0.875
0402860,15,9019,2148,0.238
0402920,12,9164,2016,0.22
0403010,9,5186,1860,0.359
0403040,3,1254,145,0.116
0403060,7,3406,1032,0.303
0403080,2,192,46,0.24
0403150,3,866,21,0.024
0403200,4,612,505,0.825
0403240,8,4880,4294,0.88
0403290,4,1064,751,0.706
0403310,2,454,448,0.987
0403400,36,32352,3278,0.101
0403420,15,9592,7775,0.811
0403450,9,15827,4085,0.258
0403500,3,1570,421,0.268
0403550,2,274,31,0.113
0403660,1,46,32,0.696
0403730,2,291,193,0.663
0403780,15,12977,905,0.07
0403820,5,1805,1309,0.725
0403860,2,141,104,0.738
0403870,9,5333,1027,0.193
0403900,1,96,74,0.771
0403950,5,1015,759,0.748
0403960,10,4857,4188,0.862
0403990,8,4433,824,0.186
0404010,2,346,66,0.191
0404060,3,1641,1364,0.831
0404170,1,85,64,0.753
0404230,25,14419,2225,0.154
0404280,8,5363,929,0.173
0404290,9,7386,1956,0.265
0404320,7,4250,608,0.143
0404380,16,10599,1301,0.123
0404410,2,384,78,0.203
0404440,7,5496,1615,0.294
0404500,8,5802,908,0.156
0404530,1,124,17,0.137
0404570,1,196,58,0.296
0404630,16,12233,2047,0.167
0404720,9,7718,1648,0.214
0404770,2,567,447,0.788
0404820,2,531,208,0.392
0404860,1,118,108,0.915
0404920,1,49,15,0.306
0404970,74,57999,13348,0.23
0405030,3,906,313,0.345
0405070,1,1245,165,0.133
0405100,1,24,18,0.75
0405190,3,1114,354,0.318
0405220,1,146,110,0.753
0405320,3,1482,150,0.101
0405340,1,135,96,0.711
0405400,3,1278,1141,0.893
0405430,1,302,102,0.338
0405460,3,986,214,0.217
0405500,1,13,4,0.308
0405530,10,5379,4230,0.786
0405640,1,391,130,0.332
0405670,6,2651,2060,0.777
0405730,1,18,5,0.278
0405760,1,77,28,0.364
0405820,5,2392,1281,0.536
0405850,1,448,107,0.239
0405880,3,895,209,0.234
0405930,43,28293,4262,0.151
0405980,5,1824,1173,0.643
0406000,1,107,29,0.271
0406030,1,74,16,0.216
0406070,4,2339,546,0.233
0406120,1,100,100,1
0406150,1,146,49,0.336
0406210,12,8017,4137,0.516
0406250,42,36269,6790,0.187
0406300,14,5203,2116,0.407
0406330,17,26658,22072,0.828
0406360,1,160,120,0.75
0406440,3,1035,192,0.186
0406510,1,98,20,0.204
0406580,3,1863,463,0.249
0406630,1,115,27,0.235
0406730,6,3705,497,0.134
0406740,3,601,501,0.834
0406780,2,149,125,0.839
0406810,13,12323,763,0.062
0406850,2,387,111,0.287
0406870,5,451,313,0.694
0406900,1,432,64,0.148
0406960,4,1369,1078,0.787
0407020,3,772,248,0.321
0407080,18,7097,6338,0.893
0407130,3,1370,285,0.208
0407170,4,2854,614,0.215
0407200,2,486,450,0.926
0407240,6,2891,762,0.264
0407300,9,6231,891,0.143
0407430,1,114,14,0.123
0407500,1,180,27,0.15
0407520,5,3636,2717,0.747
0407530,1,272,105,0.386
0407570,28,20893,1968,0.094
0407630,2,143,46,0.322
0407680,1,36,26,0.722
0407700,5,2463,497,0.202
0407750,39,32756,3995,0.122
0407770,1,43,12,0.279
0407820,6,2699,427,0.158
0407860,1,188,54,0.287
0407890,5,2796,2408,0.861
0407920,1,124,10,0.081
0408020,2,399,83,0.208
0408080,3,917,224,0.244
0408130,1,414,351,0.848
0408170,21,14218,5725,0.403
0408230,2,342,213,0.623
0408280,4,2218,123,0.055
0408310,21,10728,4479,0.418
0408340,6,12686,1885,0.149
0408410,4,1811,239,0.132
0408430,1,115,95,0.826
0408490,4,2752,1067,0.388
0408520,6,12930,2937,0.227
0408550,2,993,828,0.834
0408600,3,879,389,0.443
0408640,1,133,76,0.571
0408680,6,1481,1164,0.786
0408800,86,40618,21450,0.528
0408820,3,1715,1077,0.628
0408850,19,13669,1360,0.099
0408880,1,92,26,0.283
0408910,1,107,29,0.271
