district_id,school_id,school_name,school_type,school_level,enroll21_nces
1903150,190315000009,ADM SENIOR HIGH SCHOOL,1-Regular school,High,559
1500030,150003000150,ADMIRAL ARTHUR W RADFORD HIGH SCHOOL,1-Regular school,High,1166
3404590,340459003039,ADMIRAL WILLIAM F. HALSEY JR. HEALTH & PUBLIC SAFETY ACADEMY,1-Regular school,High,1271
5300060,530006000013,ADNA MIDDLE/HIGH SCHOOL,1-Regular school,High,372
0629270,062927004516,ADOLFO CAMARILLO HIGH,1-Regular school,High,2128
4101020,410102000756,ADRIAN HIGH SCHOOL,1-Regular school,High,83
2601950,260195003927,ADRIAN HIGH SCHOOL,1-Regular school,High,778
2702730,270273000056,ADRIAN SECONDARY,1-Regular school,High,187
2902850,290285000002,ADRIAN SR. HIGH,1-Regular school,High,382
0635430,063543006055,ADRIAN WILCOX HIGH,1-Regular school,High,1981
2902880,290288000004,ADVANCE HIGH,1-Regular school,High,183
2500085,250008501984,ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL,1-Regular school,High,966
3200060,320006000419,ADVANCED TECHNOLOGIES ACADEMY HS,1-Regular school,High,1207
0900450,090045001639,AEROSPACE/HYDROSPACE ENGINEERING AND PHYSICAL SCIENCES MAGNE,1-Regular school,High,314
0601724,060172414234,AEROSTEM ACADEMY,1-Regular school,High,139
2902910,290291000009,AFFTON HIGH,1-Regular school,High,743
2700186,270018603139,AFSA HIGH SCHOOL,1-Regular school,High,249
4002520,400252000014,AFTON HS,1-Regular school,High,150
3602400,360240000011,AFTON JUNIOR/SENIOR HIGH SCHOOL,1-Regular school,High,280
0801980,080198000021,AGATE JUNIOR SENIOR HIGH SCHOOL,1-Regular school,High,21
2501800,250180000024,AGAWAM HIGH,1-Regular school,High,1050
0506120,050612001644,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,1-Regular school,High,242
0621000,062100002518,AGOURA HIGH,1-Regular school,High,1898
4002550,400255000016,AGRA HS,1-Regular school,High,81
3702310,370231003432,AGRICULTURE AND SCIENCE EARLY COLLEGE,1-Regular school,High,246
4807530,480753000044,AGUA DULCE H S,1-Regular school,High,226
0400450,040045000001,AGUA FRIA HIGH SCHOOL,1-Regular school,High,1687
0802010,080201000023,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1-Regular school,High,43
1903060,190306000004,AGWSR HIGH SCHOOL,1-Regular school,High,179
1904080,190408000102,AHSTW HIGH SCHOOL,1-Regular school,High,216
1500030,150003000177,AIEA HIGH SCHOOL,1-Regular school,High,992
4500720,450072000046,AIKEN HIGH,1-Regular school,High,1244
3904375,390437504417,AIKEN NEW TECH HIGH SCHOOL,1-Regular school,High,1002
4500720,450072001708,AIKEN SCHOLARS ACADEMY,1-Regular school,High,135
0400939,040093903495,AIM HIGHER COLLEGE PREP ACADEMY,1-Regular school,High,46
0602227,060222711563,AIMS COLLEGE PREP HIGH,1-Regular school,High,446
3102790,310279000006,AINSWORTH HIGH SCHOOL,1-Regular school,High,142
0801920,080192000002,AIR ACADEMY HIGH SCHOOL,1-Regular school,High,1383
1709930,170993006055,AIR FORCE ACAD HIGH SCHOOL,1-Regular school,High,193
2200270,220027000112,AIRLINE HIGH SCHOOL,1-Regular school,High,1867
4502730,450273000741,AIRPORT HIGH,1-Regular school,High,1337
2601980,260198008678,AIRPORT MIDDLE COLLEGE,1-Regular school,High,17
2601980,260198003939,AIRPORT SENIOR HIGH SCHOOL,1-Regular school,High,759
2702760,270276000057,AITKIN SECONDARY SCHOOL,1-Regular school,High,591
0400520,040052003063,AJO HIGH SCHOOL,1-Regular school,High,106
4808940,480894008937,AKINS H S,1-Regular school,High,2810
3904348,390434805266,AKRON ALTERNATIVE ACADEMY,1-Regular school,High,187
3904348,390434805431,AKRON EARLY COLLEGE HIGH SCHOOL,1-Regular school,High,402
0802040,080204000025,AKRON HIGH SCHOOL,1-Regular school,High,92
3602430,360243000013,AKRON HIGH SCHOOL,1-Regular school,High,446
3904348,390434805731,AKRON STEM HIGH SCHOOL,1-Regular school,High,323
1903220,190322001939,AKRON WESTFIELD SENIOR HIGH SCHOOL,1-Regular school,High,166
2602010,260201003946,AKRONFAIRGROVE JRSR HIGH SCHOOL,1-Regular school,High,170
1200030,120003007945,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),1-Regular school,High,774
0602092,060209212248,ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,1-Regular school,High,1386
0601664,060166408673,ALAMEDA COMMUNITY LEARNING CENTER,1-Regular school,High,358
0601770,060177000041,ALAMEDA HIGH,1-Regular school,High,1743
0804800,080480000691,ALAMEDA INTERNATIONAL JUNIOR/SENIOR HIGH SCHOOL,1-Regular school,High,1170
4807590,480759000045,ALAMO HEIGHTS H S,1-Regular school,High,1671
3500030,350003000001,ALAMOGORDO HIGH,1-Regular school,High,1516
0802070,080207000027,ALAMOSA HIGH SCHOOL,1-Regular school,High,427
0200180,020018000763,ALASKA MIDDLE COLLEGE SCHOOL,1-Regular school,High,293
4807650,480765000053,ALBA-GOLDEN H S,1-Regular school,High,441
2702930,270293000064,ALBANY AREA HIGH SCHOOL,1-Regular school,High,519
2902970,290297000010,ALBANY HIGH,1-Regular school,High,128
5500120,550012000014,ALBANY HIGH,1-Regular school,High,97
0601860,060186000059,ALBANY HIGH,1-Regular school,High,1182
2201020,220102000755,ALBANY HIGH SCHOOL,1-Regular school,High,575
3602460,360246000014,ALBANY HIGH SCHOOL,1-Regular school,High,2607
4807680,480768000054,ALBANY JR-SR H S,1-Regular school,High,228
3601006,360100606202,ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,1-Regular school,High,285
3704320,370432000022,ALBEMARLE HIGH,1-Regular school,High,335
5100090,510009000015,ALBEMARLE HIGH,1-Regular school,High,1887
2400480,240048000773,ALBERT EINSTEIN HIGH,1-Regular school,High,1921
4202100,420210006001,ALBERT GALLATIN AREA SHS,1-Regular school,High,1032
2702970,270297000068,ALBERT LEA SENIOR HIGH,1-Regular school,High,1266
3200210,320021000149,ALBERT M. LOWRY HIGH SCHOOL,1-Regular school,High,892
0102480,010248001696,ALBERT P BREWER HIGH SCHOOL,1-Regular school,High,710
3001860,300186000004,ALBERTON HIGH SCHOOL,1-Regular school,High,37
0100005,010000500871,ALBERTVILLE HIGH SCHOOL,1-Regular school,High,1606
1903270,190327000017,ALBIA HIGH SCHOOL,1-Regular school,High,381
3500060,350006000024,ALBUQUERQUE HIGH,1-Regular school,High,1839
3500130,350013000921,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,1-Regular school,High,382
3500060,350006001026,ALBUQUERQUE TALENT DEVELOPMENT CHARTER,1-Regular school,High,118
1903300,190330000025,ALBURNETT SENIOR HIGH SCHOOL,1-Regular school,High,210
4600028,460002800014,ALCESTER-HUDSON HIGH SCHOOL - 01,1-Regular school,High,96
0409160,040916000005,ALCHESAY HIGH SCHOOL,1-Regular school,High,556
4700060,470006000235,ALCOA HIGH SCHOOL,1-Regular school,High,685
2602160,260216003955,ALCONA COMMUNITY HIGH SCHOOL,1-Regular school,High,390
2800390,280039000018,ALCORN CENTRAL HIGH SCHOOL,1-Regular school,High,400
1709930,170993006072,ALCOTT COLLEGE PREP,1-Regular school,High,330
1303930,130393003436,ALCOVY HIGH SCHOOL,1-Regular school,High,1905
3602550,360255000039,ALDEN SENIOR HIGH SCHOOL,1-Regular school,High,497
2703030,270303000080,ALDEN-CONGER SECONDARY,1-Regular school,High,220
1703300,170330000017,ALDEN-HEBRON HIGH SCHOOL,1-Regular school,High,104
4807710,480771000057,ALDINE H S,1-Regular school,High,2863
3500138,350013800938,ALDO LEOPOLD CHARTER,1-Regular school,High,167
4807780,480778000089,ALEDO H S,1-Regular school,High,1428
4002670,400267029673,ALEX HS,1-Regular school,High,88
