district_id,dist_name,fte_total,pct_black_educ,pct_asian_educ,pct_latinx_educ,pct_native_educ,pct_hawpi_educ,pct_two_plus_educ,pct_white_educ,pct_female_educ,pct_male_educ,pct_bipoc_educ
2500032,Lawrence Family Development Charter (District),58,0,0.017,0.276,0,0,0.034,0.672,0.879,0.121,0.32799999999999996
2500045,Learning First Charter Public School (District),31,0.09699999999999999,0.032,0.065,0,0,0,0.8059999999999999,0.8059999999999999,0.19399999999999998,0.19400000000000006
2506690,Lee,72.3,0,0.027999999999999997,0.013999999999999999,0,0,0,0.9590000000000001,0.848,0.152,0.040999999999999925
2506720,Leicester,89.4,0,0.011000000000000001,0.009000000000000001,0,0,0.009000000000000001,0.971,0.74,0.26,0.029000000000000026
2506750,Lenox,66.4,0,0.015,0,0,0,0,0.985,0.7090000000000001,0.29100000000000004,0.015000000000000013
2506780,Leominster,367.9,0.011000000000000001,0.011000000000000001,0.019,0,0,0,0.9590000000000001,0.725,0.275,0.040999999999999925
2506810,Leverett,10.5,0,0,0,0,0,0,1,0.713,0.287,0
2506840,Lexington,490.8,0.023,0.07200000000000001,0.033,0,0,0.012,0.86,0.728,0.272,0.14
2506900,Lincoln,89.8,0.023,0.033,0.023,0,0,0,0.9209999999999999,0.85,0.15,0.07900000000000007
2506930,Lincoln-Sudbury,110.8,0.042,0.023,0.027000000000000003,0,0,0.017,0.8909999999999999,0.591,0.409,0.1090000000000001
2506960,Littleton,100.9,0,0.01,0.02,0,0,0.02,0.95,0.785,0.215,0.050000000000000044
2506990,Longmeadow,188.9,0.005,0,0.017,0,0,0,0.978,0.764,0.23600000000000002,0.02200000000000002
2507020,Lowell,908.8,0.017,0.046,0.049,0.002,0,0.002,0.883,0.762,0.23800000000000002,0.11699999999999999
2500065,Lowell Community Charter Public (District),51.6,0.042,0.039,0.136,0,0,0.019,0.764,0.7020000000000001,0.298,0.236
2500033,Lowell Middlesex Academy Charter (District),6.9,0.146,0,0.292,0,0,0,0.562,0.41700000000000004,0.583,0.43799999999999994
2507050,Ludlow,175.5,0,0,0.011000000000000001,0,0,0,0.9890000000000001,0.777,0.223,0.010999999999999899
2507080,Lunenburg,113,0,0,0,0,0,0,1,0.753,0.247,0
2507110,Lynn,1038.8,0.023,0.02,0.07200000000000001,0.004,0,0.008,0.8740000000000001,0.6990000000000001,0.301,0.1259999999999999
2507140,Lynnfield,128,0,0,0,0.001,0,0.008,0.991,0.732,0.268,0.009000000000000008
2500036,Ma Academy for Math and Science,6,0,0,0,0,0,0.16699999999999998,0.833,0.833,0.16699999999999998,0.16700000000000004
2507170,Malden,407.9,0.027999999999999997,0.038,0.027000000000000003,0,0,0.013000000000000001,0.894,0.7609999999999999,0.23600000000000002,0.10599999999999998
2500067,Manchester Essex Regional,101.2,0,0.01,0,0,0,0,0.99,0.69,0.31,0.010000000000000009
2507230,Mansfield,222.7,0.009000000000000001,0.004,0.036000000000000004,0,0,0.004,0.946,0.7659999999999999,0.23399999999999999,0.05400000000000005
2507260,Marblehead,215,0.005,0.012,0.01,0,0,0.012,0.9620000000000001,0.736,0.264,0.03799999999999992
2500034,Marblehead Community Charter Public (District),15,0,0,0,0,0,0,1,0.5329999999999999,0.467,0
2507290,Marion,24.3,0,0,0,0,0,0,1,0.951,0.049,0
2507320,Marlborough,339.3,0.001,0,0.031,0,0,0.021,0.946,0.8270000000000001,0.17300000000000001,0.05400000000000005
2507350,Marshfield,266,0,0.008,0,0,0.002,0.004,0.987,0.768,0.23199999999999998,0.013000000000000012
2507380,Martha's Vineyard,75.5,0.02,0,0.055999999999999994,0,0,0,0.924,0.585,0.415,0.07599999999999996
2500035,Martha's Vineyard Charter Public School (District),21.8,0.046,0.046,0.046,0,0,0,0.863,0.77,0.23,0.137
2500089,"Martin Luther King, Jr. Charter School of Excellence (District)",21,0.381,0,0.19,0,0,0,0.429,0.81,0.19,0.571
2507410,Masconomet,106.7,0.009000000000000001,0.023,0,0,0,0,0.968,0.556,0.444,0.03200000000000003
2507440,Mashpee,114.7,0.009000000000000001,0.009000000000000001,0,0.02,0,0,0.9620000000000001,0.7909999999999999,0.209,0.03799999999999992
2500066,Match Charter Public School (District),75.8,0.228,0.08800000000000001,0.048,0,0,0.026000000000000002,0.609,0.726,0.27399999999999997,0.391
2507470,Mattapoisett,22.3,0,0,0,0,0,0,1,0.865,0.135,0
2507500,Maynard,98.8,0.01,0,0.096,0,0,0.002,0.892,0.722,0.278,0.10799999999999998
2507530,Medfield,182.2,0,0.009000000000000001,0.015,0,0.005,0.005,0.965,0.7879999999999999,0.212,0.03500000000000003
2507560,Medford,293.8,0.003,0.022000000000000002,0.013000000000000001,0,0,0.004,0.9570000000000001,0.7440000000000001,0.256,0.04299999999999993
2507590,Medway,141.6,0,0,0.013999999999999999,0,0,0,0.986,0.8190000000000001,0.18100000000000002,0.014000000000000012
2507620,Melrose,234.2,0,0.005,0.025,0,0,0.009000000000000001,0.9620000000000001,0.8170000000000001,0.183,0.03799999999999992
2507680,Mendon-Upton,127.4,0,0,0.039,0,0,0,0.961,0.759,0.24100000000000002,0.039000000000000035
2507740,Methuen,436.3,0,0,0.034,0,0,0,0.966,0.757,0.243,0.03400000000000003
2507770,Middleborough,188.6,0,0.005,0,0.005,0,0,0.9890000000000001,0.7240000000000001,0.276,0.010999999999999899
2507830,Middleton,49.4,0,0,0,0,0,0,1,0.925,0.075,0
2507860,Milford,321.7,0.001,0.006,0.036000000000000004,0,0,0.006,0.9520000000000001,0.753,0.247,0.04799999999999993
2507890,Millbury,109.1,0,0.009000000000000001,0,0,0,0,0.991,0.7120000000000001,0.28800000000000003,0.009000000000000008
2507920,Millis,76.9,0,0.004,0.036000000000000004,0,0,0,0.9590000000000001,0.73,0.27,0.040999999999999925
